DATE,USD/EU,USD/GBP,USD/AUD,USD/NZ
7/2/2014,1.36536,1.70902,0.94354,0.87654
7/9/2014,1.36145,1.713425,0.938125,0.8781
7/16/2014,1.35842,1.71178,0.9378,0.87798
7/23/2014,1.35002,1.70668,0.93946,0.86816
7/30/2014,1.34254,1.69572,0.93852,0.85302
8/6/2014,1.33922,1.68538,0.93122,0.84884
8/13/2014,1.33766,1.67832,0.9279,0.84644
8/20/2014,1.3346,1.66706,0.9315,0.84606
8/27/2014,1.32216,1.65782,0.93124,0.83704
9/3/2014,1.3147,1.652925,0.932825,0.834175
9/10/2014,1.29294,1.62048,0.92794,0.82824
9/17/2014,1.29552,1.6266,0.90626,0.81734
9/24/2014,1.28446,1.6348,0.89036,0.81042
10/1/2014,1.26766,1.6253,0.87532,0.7839
10/8/2014,1.26176,1.60542,0.87548,0.78186
10/15/2014,1.268925,1.601525,0.87545,0.78725
10/22/2014,1.27464,1.60984,0.87806,0.79554
10/29/2014,1.27108,1.61148,0.88272,0.7897
11/5/2014,1.25362,1.59966,0.87276,0.77714
11/12/2014,1.242925,1.58445,0.864,0.7778
11/19/2014,1.24998,1.56674,0.87068,0.79092
11/26/2014,1.24644,1.57114,0.85906,0.78562
12/3/2014,1.24055,1.5683,0.847975,0.782925
12/10/2014,1.23736,1.5663,0.83354,0.77264
12/17/2014,1.24522,1.56982,0.82316,0.77728
12/24/2014,1.22292,1.5591,0.81286,0.7735
12/31/2014,1.215133333,1.555833333,0.817266667,0.781033333
1/7/2015,1.192225,1.52105,0.8095,0.773625
1/14/2015,1.18116,1.51674,0.81618,0.77824
1/21/2015,1.15645,1.514325,0.8171,0.771
1/28/2015,1.1339,1.51046,0.7976,0.7473
2/4/2015,1.1363,1.50868,0.77672,0.72952
2/11/2015,1.13388,1.52482,0.77834,0.73924
2/18/2015,1.138875,1.538825,0.778225,0.7493
2/25/2015,1.1356,1.54468,0.78312,0.75234
3/4/2015,1.11762,1.53782,0.78134,0.75578
3/11/2015,1.0798,1.5084,0.7682,0.73362
3/18/2015,1.05924,1.47784,0.7652,0.73596
3/25/2015,1.0847,1.48746,0.779,0.75638
4/1/2015,1.08274,1.48374,0.7695,0.75208
4/8/2015,1.0908,1.48996,0.76458,0.7554
4/15/2015,1.06238,1.47234,0.76414,0.75216
4/22/2015,1.07544,1.49498,0.77622,0.7676
4/29/2015,1.09448,1.52542,0.79096,0.76608
5/6/2015,1.1204,1.5201,0.7893,0.75434
5/13/2015,1.12556,1.55408,0.79668,0.74302
5/20/2015,1.1276,1.56568,0.79862,0.74072
5/27/2015,1.098075,1.54695,0.77915,0.727075
6/3/2015,1.10472,1.52892,0.76908,0.7133
6/10/2015,1.12404,1.53654,0.76758,0.7118
6/17/2015,1.12524,1.55994,0.7731,0.69758
6/24/2015,1.1297,1.58036,0.77524,0.68864
7/1/2015,1.1154,1.5715,0.76872,0.68256
7/8/2015,1.10475,1.550725,0.750775,0.6708
7/15/2015,1.1035,1.55202,0.74176,0.66864
7/22/2015,1.08814,1.55958,0.73956,0.65674
7/29/2015,1.1029,1.55766,0.7318,0.66474
8/5/2015,1.0945,1.56068,0.73304,0.65848
8/12/2015,1.10228,1.5549,0.73606,0.6583
8/19/2015,1.10842,1.56242,0.73546,0.65684
8/26/2015,1.13872,1.56616,0.72344,0.65586
9/2/2015,1.1222,1.53574,0.7091,0.63924
9/9/2015,1.1142,1.529825,0.699725,0.635725
9/16/2015,1.12942,1.54314,0.7115,0.63224
9/23/2015,1.12334,1.54374,0.71152,0.63168
9/30/2015,1.12176,1.51836,0.70088,0.63622
10/7/2015,1.12382,1.5217,0.71026,0.65014
10/14/2015,1.1366,1.53295,0.7273,0.66995
10/21/2015,1.13604,1.5464,0.72626,0.67892
10/28/2015,1.1065,1.53462,0.72146,0.67718
11/4/2015,1.09676,1.539,0.71352,0.66908
11/11/2015,1.0767,1.513525,0.70645,0.655175
11/18/2015,1.0694,1.52084,0.71024,0.64888
11/25/2015,1.06552,1.51634,0.72232,0.65524
12/2/2015,1.058775,1.502125,0.7264,0.66045
12/9/2015,1.08972,1.50864,0.72678,0.66602
12/16/2015,1.09646,1.51152,0.72308,0.67576
12/23/2015,1.08848,1.4874,0.71842,0.67628
12/30/2015,1.09415,1.4863,0.7277,0.685
1/6/2016,1.079175,1.46805,0.716825,0.6731
1/13/2016,1.08644,1.45078,0.69928,0.65696
1/20/2016,1.091,1.4259,0.6907,0.644475
1/27/2016,1.08384,1.42708,0.70132,0.64994
2/3/2016,1.09262,1.43754,0.70864,0.65228
2/10/2016,1.12044,1.44818,0.71114,0.66576
2/17/2016,1.121925,1.437875,0.711625,0.662575
